ldf_num,condition,partnersExposure,label,exposures,trueClickPoints,trueLabelPoints,pointCost,speechCost,testCorrect,known,estimated_p,appearance,method,score,action
5,100_30,0,dax,2,30,100,70,0,1,TRUE,0.9072033473374291,3,speak,100,speak
5,100_30,0,fep,2,30,100,70,0,1,TRUE,0.9072033473374291,1,teach,30,point
5,100_30,0,fep,2,30,100,70,0,1,TRUE,0.9072033473374291,2,speak,100,point
5,100_30,0,fep,2,30,100,70,0,1,TRUE,0.9072033473374291,3,speak,100,teach
5,100_30,0,gazzer,1,30,100,70,0,1,TRUE,0.9072033473374291,1,point,30,teach
5,100_30,0,gazzer,1,30,100,70,0,1,TRUE,0.9072033473374291,2,teach,30,speak
5,100_30,0,gazzer,1,30,100,70,0,1,TRUE,0.9072033473374291,3,speak,100,speak
5,100_30,0,kiv,4,30,100,70,0,1,TRUE,0.9072033473374291,1,speak,0,teach
5,100_30,0,kiv,4,30,100,70,0,1,TRUE,0.9072033473374291,2,teach,30,teach
5,100_30,0,kiv,4,30,100,70,0,1,TRUE,0.9072033473374291,3,speak,100,speak
5,100_30,0,kreeb,4,30,100,70,0,1,TRUE,0.9072033473374291,1,speak,0,teach
5,100_30,0,kreeb,4,30,100,70,0,1,TRUE,0.9072033473374291,2,point,30,speak
5,100_30,0,kreeb,4,30,100,70,0,1,TRUE,0.9072033473374291,3,speak,0,teach
5,100_30,0,manu,1,30,100,70,0,1,TRUE,0.9072033473374291,1,point,30,teach
5,100_30,0,manu,1,30,100,70,0,1,TRUE,0.9072033473374291,2,point,30,speak
5,100_30,0,manu,1,30,100,70,0,1,TRUE,0.9072033473374291,3,teach,30,teach
5,100_30,0,toma,1,30,100,70,0,1,TRUE,0.9072033473374291,1,teach,30,teach
5,100_30,0,toma,1,30,100,70,0,1,TRUE,0.9072033473374291,2,speak,100,speak
5,100_30,0,toma,1,30,100,70,0,1,TRUE,0.9072033473374291,3,speak,100,point
5,100_30,0,wug,4,30,100,70,0,1,TRUE,0.9072033473374291,1,speak,0,teach
5,100_30,0,wug,4,30,100,70,0,1,TRUE,0.9072033473374291,2,speak,0,teach
5,100_30,0,wug,4,30,100,70,0,1,TRUE,0.9072033473374291,3,teach,30,speak
6,100_30,0,blicket,1,30,100,70,0,0,FALSE,0.612225058736175,1,point,30,point
6,100_30,0,blicket,1,30,100,70,0,0,FALSE,0.612225058736175,2,point,30,point
6,100_30,0,blicket,1,30,100,70,0,0,FALSE,0.612225058736175,3,point,30,point
6,100_30,0,dax,2,30,100,70,0,1,TRUE,0.612225058736175,1,point,30,teach
6,100_30,0,dax,2,30,100,70,0,1,TRUE,0.612225058736175,2,point,30,point
6,100_30,0,dax,2,30,100,70,0,1,TRUE,0.612225058736175,3,point,30,speak
6,100_30,0,fep,2,30,100,70,0,1,TRUE,0.612225058736175,1,point,30,teach
6,100_30,0,fep,2,30,100,70,0,1,TRUE,0.612225058736175,2,point,30,speak
6,100_30,0,fep,2,30,100,70,0,1,TRUE,0.612225058736175,3,point,30,point
6,100_30,0,gazzer,2,30,100,70,0,1,TRUE,0.612225058736175,1,point,30,teach
