ldf_num,phase,condition,partnersExposure,trialnum,score,partnerVocab,targetObjectName,exposureRate,realLabel,method,typedLabel,adjLabel,clickedObject,responseCorrect,partnerSelection,timestamp,duration,testCorrect,trueClickPoints,trueLabelPoints,toBeDropped,appearance,usedEnglishLabels
3,game,80_50,perfect,1,80,"c(""blicket"", ""wug"", ""kreeb"", ""dax"", ""fep"", ""toma"", ""kiv"", ""manu"", ""gazzer"")",2002-600.jpg,2,fep,label,feb,fep,NA,1,2002-600.jpg,14:46:25,22444,1,50,80,0,First,0
3,game,80_50,perfect,2,50,"c(""blicket"", ""wug"", ""kreeb"", ""dax"", ""fep"", ""toma"", ""kiv"", ""manu"", ""gazzer"")",2001-600.jpg,1,kiv,click,NA,,kiv,1,2001-600.jpg,14:46:31,4051,1,50,80,0,First,0
3,game,80_50,perfect,3,50,"c(""blicket"", ""wug"", ""kreeb"", ""dax"", ""fep"", ""toma"", ""kiv"", ""manu"", ""gazzer"")",2007-600.jpg,1,kreeb,click,NA,,kreeb,1,2007-600.jpg,14:46:37,2537,0,50,80,0,First,0
3,game,80_50,perfect,4,80,"c(""blicket"", ""wug"", ""kreeb"", ""dax"", ""fep"", ""toma"", ""kiv"", ""manu"", ""gazzer"")",2002-600.jpg,2,fep,label,feb,fep,NA,1,2002-600.jpg,14:46:46,4101,1,50,80,0,Second,0
3,game,80_50,perfect,5,50,"c(""blicket"", ""wug"", ""kreeb"", ""dax"", ""fep"", ""toma"", ""kiv"", ""manu"", ""gazzer"")",2023-600.jpg,4,dax,click,NA,,dax,1,2023-600.jpg,14:46:51,2701,0,50,80,0,First,0
3,game,80_50,perfect,6,50,"c(""blicket"", ""wug"", ""kreeb"", ""dax"", ""fep"", ""toma"", ""kiv"", ""manu"", ""gazzer"")",2056-600.jpg,1,toma,click,NA,,toma,1,2056-600.jpg,14:46:57,2750,0,50,80,0,First,0
3,game,80_50,perfect,7,50,"c(""blicket"", ""wug"", ""kreeb"", ""dax"", ""fep"", ""toma"", ""kiv"", ""manu"", ""gazzer"")",2025-600.jpg,2,blicket,click,NA,,blicket,1,2025-600.jpg,14:47:06,3478,0,50,80,0,First,0
3,game,80_50,perfect,8,80,"c(""blicket"", ""wug"", ""kreeb"", ""dax"", ""fep"", ""toma"", ""kiv"", ""manu"", ""gazzer"")",2005-600.jpg,4,gazzer,label,gazzer,gazzer,NA,1,2005-600.jpg,14:47:15,4900,1,50,80,0,First,0
3,game,80_50,perfect,9,80,"c(""blicket"", ""wug"", ""kreeb"", ""dax"", ""fep"", ""toma"", ""kiv"", ""manu"", ""gazzer"")",2001-600.jpg,1,kiv,label,kiv,kiv,NA,1,2001-600.jpg,14:47:23,5251,1,50,80,0,Second,0
3,game,80_50,perfect,10,80,"c(""blicket"", ""wug"", ""kreeb"", ""dax"", ""fep"", ""toma"", ""kiv"", ""manu"", ""gazzer"")",2005-600.jpg,4,gazzer,label,gazzer,gazzer,NA,1,2005-600.jpg,14:47:30,4264,1,50,80,0,Second,0
3,game,80_50,perfect,11,50,"c(""blicket"", ""wug"", ""kreeb"", ""dax"", ""fep"", ""toma"", ""kiv"", ""manu"", ""gazzer"")",2056-600.jpg,1,toma,click,NA,,toma,1,2056-600.jpg,14:47:37,2276,0,50,80,0,Second,0
3,game,80_50,perfect,12,80,"c(""blicket"", ""wug"", ""kreeb"", ""dax"", ""fep"", ""toma"", ""kiv"", ""manu"", ""gazzer"")",2001-600.jpg,1,kiv,label,kiv,kiv,NA,1,2001-600.jpg,14:47:44,3769,1,50,80,0,Third,0
3,game,80_50,perfect,13,50,"c(""blicket"", ""wug"", ""kreeb"", ""dax"", ""fep"", ""toma"", ""kiv"", ""manu"", ""gazzer"")",2025-600.jpg,2,blicket,click,NA,,blicket,1,2025-600.jpg,14:47:50,2630,0,50,80,0,Second,0
3,game,80_50,perfect,14,50,"c(""blicket"", ""wug"", ""kreeb"", ""dax"", ""fep"", ""toma"", ""kiv"", ""manu"", ""gazzer"")",2009-600.jpg,2,wug,click,NA,,wug,1,2009-600.jpg,14:48:10,13735,1,50,80,0,First,0
