"","X1","ldf_num","phase","condition","partnersExposure","trialnum","score","partnerVocab","targetObjectName","exposureRate","realLabel","method","typedLabel","adjLabel","clickedObject","responseCorrect","partnerSelection","timestamp","duration","testCorrect","trueClickPoints","trueLabelPoints","toBeDropped","appearance","manipFail","usedEnglishLabels"
"37",37,2,"game","100_30","None",10,30,"c(""toma"", ""2002-600.jpg"", ""blicket"", ""2006-600.jpg"")","2023-600.jpg","1","gazzer","click",NA,NA,"gazzer",1,"2023-600.jpg",14:37:43,3184,1,30,100,0,"Second",0,0
"38",38,2,"game","100_30","None",11,30,"c(""toma"", ""2002-600.jpg"", ""blicket"", ""2006-600.jpg"")","2001-600.jpg","2","fep","click",NA,NA,"fep",1,"2001-600.jpg",14:37:52,6211,1,30,100,0,"Second",0,0
"39",39,2,"game","100_30","None",12,100,"c(""toma"", ""2002-600.jpg"", ""blicket"", ""2006-600.jpg"")","2006-600.jpg","4","blicket","label","blicket","blicket",NA,1,"2006-600.jpg",14:38:02,7482,1,30,100,0,"Second",0,0
"40",40,2,"game","100_30","None",13,30,"c(""toma"", ""2002-600.jpg"", ""blicket"", ""2006-600.jpg"", ""wug"", ""2025-600.jpg"")","2025-600.jpg","2","wug","label_click","wug","wug","wug",1,"2025-600.jpg",14:38:15,8500,1,30,100,0,"Second",0,0
"41",41,2,"game","100_30","None",14,100,"c(""toma"", ""2002-600.jpg"", ""blicket"", ""2006-600.jpg"", ""wug"", ""2025-600.jpg"")","2006-600.jpg","4","blicket","label","blicket","blicket",NA,1,"2006-600.jpg",14:38:25,6201,1,30,100,0,"Third",0,0
"42",42,2,"game","100_30","None",15,30,"c(""toma"", ""2002-600.jpg"", ""blicket"", ""2006-600.jpg"", ""wug"", ""2025-600.jpg"", ""dax"", ""2007-600.jpg"")","2007-600.jpg","1","dax","label_click","dax","dax","dax",1,"2007-600.jpg",14:38:42,13308,1,30,100,0,"Second",0,0
"43",43,2,"game","100_30","None",16,30,"c(""toma"", ""2002-600.jpg"", ""blicket"", ""2006-600.jpg"", ""wug"", ""2025-600.jpg"", ""dax"", ""2007-600.jpg"", ""kiv"", ""2009-600.jpg"")","2009-600.jpg","4","kiv","label_click","kiv","kiv","kiv",1,"2009-600.jpg",14:38:59,11836,0,30,100,0,"Second",0,0
"44",44,2,"game","100_30","None",17,30,"c(""toma"", ""2002-600.jpg"", ""blicket"", ""2006-600.jpg"", ""wug"", ""2025-600.jpg"", ""dax"", ""2007-600.jpg"", ""kiv"", ""2009-600.jpg"")","2056-600.jpg","2","manu","click",NA,NA,"manu",1,"2056-600.jpg",14:39:15,12428,1,30,100,0,"First",0,0
"45",45,2,"game","100_30","None",18,100,"c(""toma"", ""2002-600.jpg"", ""blicket"", ""2006-600.jpg"", ""wug"", ""2025-600.jpg"", ""dax"", ""2007-600.jpg"", ""kiv"", ""2009-600.jpg"")","2002-600.jpg","4","toma","label","toma","toma",NA,1,"2002-600.jpg",14:39:26,5808,1,30,100,0,"Third",0,0
"46",46,2,"game","100_30","None",19,30,"c(""toma"", ""2002-600.jpg"", ""blicket"", ""2006-600.jpg"", ""wug"", ""2025-600.jpg"", ""dax"", ""2007-600.jpg"", ""kiv"", ""2009-600.jpg"", ""gazzer"", ""2023-600.jpg"")","2023-600.jpg","1","gazzer","label_click","gazzer","gazzer","gazzer",1,"2023-600.jpg",14:39:41,12660,1,30,100,0,"Third",0,0
"47",47,2,"game","100_30","None",20,30,"c(""toma"", ""2002-600.jpg"", ""blicket"", ""2006-600.jpg"", ""wug"", ""2025-600.jpg"", ""dax"", ""2007-600.jpg"", ""kiv"", ""2009-600.jpg"", ""gazzer"", ""2023-600.jpg"", ""kreeb"", ""2005-600.jpg"")","2005-600.jpg","1","kreeb","label_click","kreeb","kreeb","kreeb",1,"2005-600.jpg",14:39:58,10552,0,30,100,0,"Second",0,0
"48",48,2,"game","100_30","None",21,30,"c(""toma"", ""2002-600.jpg"", ""blicket"", ""2006-600.jpg"", ""wug"", ""2025-600.jpg"", ""dax"", ""2007-600.jpg"", ""kiv"", ""2009-600.jpg"", ""gazzer"", ""2023-600.jpg"", ""kreeb"", ""2005-600.jpg"", ""fep"", ""2001-600.jpg"")","2001-600.jpg","2","fep","label_click","fep","fep","fep",1,"2001-600.jpg",14:40:16,14235,1,30,100,0,"Third",0,0
"49",49,2,"game","100_30","None",22,30,"c(""toma"", ""2002-600.jpg"", ""blicket"", ""2006-600.jpg"", ""wug"", ""2025-600.jpg"", ""dax"", ""2007-600.jpg"", ""kiv"", ""2009-600.jpg"", ""gazzer"", ""2023-600.jpg"", ""kreeb"", ""2005-600.jpg"", ""fep"", ""2001-600.jpg"", ""manu"", ""2056-600.jpg"")","2056-600.jpg","2","manu","label_click","manu","manu","manu",1,"2056-600.jpg",14:40:31,12468,1,30,100,0,"Second",0,0
"50",50,2,"game","100_30","None",23,100,"c(""toma"", ""2002-600.jpg"", ""blicket"", ""2006-600.jpg"", ""wug"", ""2025-600.jpg"", ""dax"", ""2007-600.jpg"", ""kiv"", ""2009-600.jpg"", ""gazzer"", ""2023-600.jpg"", ""kreeb"", ""2005-600.jpg"", ""fep"", ""2001-600.jpg"", ""manu"", ""2056-600.jpg"")","2009-600.jpg","4","kiv","label","kiv","kiv",NA,1,"2009-600.jpg",14:40:46,8077,0,30,100,0,"Third",0,0
"51",51,2,"game","100_30","None",24,100,"c(""toma"", ""2002-600.jpg"", ""blicket"", ""2006-600.jpg"", ""wug"", ""2025-600.jpg"", ""dax"", ""2007-600.jpg"", ""kiv"", ""2009-600.jpg"", ""gazzer"", ""2023-600.jpg"", ""kreeb"", ""2005-600.jpg"", ""fep"", ""2001-600.jpg"", ""manu"", ""2056-600.jpg"")","2005-600.jpg","1","kreeb","label","kreeb","kreeb",NA,1,"2005-600.jpg",14:40:57,7936,0,30,100,0,"Third",0,0
"52",52,2,"game","100_30","None",25,100,"c(""toma"", ""2002-600.jpg"", ""blicket"", ""2006-600.jpg"", ""wug"", ""2025-600.jpg"", ""dax"", ""2007-600.jpg"", ""kiv"", ""2009-600.jpg"", ""gazzer"", ""2023-600.jpg"", ""kreeb"", ""2005-600.jpg"", ""fep"", ""2001-600.jpg"", ""manu"", ""2056-600.jpg"")","2056-600.jpg","2","manu","label","manu","manu",NA,1,"2056-600.jpg",14:41:11,11144,1,30,100,0,"Third",0,0
